,index,class,level,features
0,0,barbarian,0,"Hit Points
Hit Dice: 1d12 per barbarian level
Hit Points at 1st Level: 12 + your Constitution modifier
Hit Points at Higher Levels: 1d12 (or 7) + your Constitution modifier per barbarian level after 1st
"
1,1,barbarian,0,"Proficiencies
Armor: Light armor, medium armor, shields
Weapons: Simple weapons, martial weapons
Tools: None
Saving Throws: Strength, Constitution
Skills: Choose two from Animal Handling, Athletics, Intimidation, Nature, Perception, and Survival
"
2,2,barbarian,0,"Equipment
You start with the following equipment, in addition to the equipment granted by your background:

(a) a greataxe or (b) any martial melee weapon
(a) two handaxes or (b) any simple weapon
An explorer's pack and four javelins

"
3,3,barbarian,1,"Rage
In battle, you fight with primal ferocity. On your turn, you can enter a rage as a bonus action.
While raging, you gain the following benefits if you aren't wearing heavy armor:

You have advantage on Strength checks and Strength saving throws.
When you make a melee weapon attack using Strength, you gain a bonus to the damage roll that increases as you gain levels as a barbarian, as shown in the Rage Damage column of the Barbarian table.
You have resistance to bludgeoning, piercing, and slashing damage.

If you are able to cast spells, you can't cast them or concentrate on them while raging.
Your rage lasts for 1 minute. It ends early if you are knocked unconscious or if your turn ends and you haven't attacked a hostile creature since your last turn or taken damage since then. You can also end your rage on your turn as a bonus action.
Once you have raged the number of times shown for your barbarian level in the Rages column of the Barbarian table, you must finish a long rest before you can rage again.
"
4,4,barbarian,1,"Unarmored Defense
While you are not wearing any armor, your armor class equals 10 + your Dexterity modifier + your Constitution modifier. You can use a shield and still gain this benefit.
"
5,5,barbarian,2,"Danger Sense
At 2nd level, you gain an uncanny sense of when things nearby aren't as they should be, giving you an edge when you dodge away from danger. You have advantage on Dexterity saving throws against effects that you can see, such as traps and spells. To gain this benefit, you can't be blinded, deafened, or incapacitated.
"
6,6,barbarian,2,"Reckless Attack
Starting at 2nd level, you can throw aside all concern for defense to attack with fierce desperation. When you make your first attack on your turn, you can decide to attack recklessly. Doing so gives you advantage on melee weapon attack rolls using Strength during this turn, but attack rolls against you have advantage until your next turn.
"
7,7,barbarian,3,"Primal Path
At 3rd level, you choose a path that shapes the nature of your rage. Your choice grants you features at 3rd level and again at 6th, 10th, and 14th levels.


Path
Source


Ancestral Guardian
Xanathar's Guide to Everything


Battlerager
Sword Coast Adventurer's Guide


Beast
Tasha's Cauldron of Everything


Berserker
Player's Handbook


Giant
Bigby Presents: Glory of the Giants


Storm Herald
Xanathar's Guide to Everything


Totem Warrior
Player's Handbook


Wild Magic
Tasha's Cauldron of Everything


Zealot
Xanathar's Guide to Everything


Unearthed Arcana


Giant
Unearthed Arcana 83 - Giant Options


D&D Beyond Partnered Content


Depths
Legends of Runeterra: Dark Tides of Bilgewater


The following subclass is unofficial homebrew created by WOTC affiliated DM, Matthew Mercer


Juggernaut
Tal'Dorei Campaign Guide


Archived Unearthed Arcana


Beast
Unearthed Arcana 67 - Subclasses, Part 1


Wild Soul
Unearthed Arcana 60 - Barbarian and Monk


"
8,8,barbarian,3,"Primal Knowledge (Optional)
When you reach 3rd level and again at 10th level, you gain proficiency in one skill of your choice from the list of skills available to barbarians at 1st level.
"
9,9,barbarian,4,"Ability Score Improvement
When you reach 4th level, and again at 8th, 12th, 16th, and 19th level, you can increase one ability score of your choice by 2, or you can increase two ability scores of your choice by 1. As normal, you can't increase an ability score above 20 using this feature.
"
10,10,barbarian,5,"Extra Attack
Beginning at 5th level, you can attack twice, instead of once, whenever you take the Attack action on your turn.
"
11,11,barbarian,5,"Fast Movement
Starting at 5th level, your speed increases by 10 feet while you aren't wearing heavy armor.
"
12,12,barbarian,6,Path Feature
13,13,barbarian,7,"Feral Instinct
By 7th level, your instincts are so honed that you have advantage on initiative rolls.
Additionally, if you are surprised at the beginning of combat and aren't incapacitated, you can act normally on your first turn, but only if you enter your rage before doing anything else on that turn.
"
14,14,barbarian,7,"Instinctive Pounce (Optional)
At 7th level, as part of the bonus action you take to enter your rage, you can move up to half your speed.
"
15,15,barbarian,8,"Ability Score Improvement
When you reach 4th level, and again at 8th, 12th, 16th, and 19th level, you can increase one ability score of your choice by 2, or you can increase two ability scores of your choice by 1. As normal, you can't increase an ability score above 20 using this feature.
"
